;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
92;93;98.0;0.0;USA;165000000.0;217387997.0;485430;492.0;288.0;33000;255.0;18000.0;953.0;759.0;20453;8.2;Excellent
2751;2752;98.0;0.0;Italy;15000000.0;;80;4.0;4.0;18;6.0;61.0;57.0;50.0;192;5.7;Fair
1314;1315;91.0;8.0;USA;40000000.0;18438149.0;30842;93.0;70.0;0;48.0;61.0;46.0;39.0;222;5.9;Fair
3971;3972;152.0;2.0;USA;3800000.0;14873.0;5294;67.0;53.0;251;541.0;773.0;575.0;288.0;2888;6.8;Good
3725;3726;90.0;1.0;USA;5000000.0;24809547.0;74875;115.0;179.0;11000;37.0;11000.0;3000.0;1000.0;15710;6.4;Good
1609;1610;132.0;1.0;USA;30000000.0;74787599.0;12549;109.0;30.0;883;0.0;769.0;713.0;252.0;1936;6.6;Good
1730;1731;85.0;1.0;Russia;30000000.0;;393;7.0;5.0;161;0.0;114.0;35.0;21.0;229;4.1;Fair
1234;1235;89.0;2.0;USA;40000000.0;57011847.0;20615;44.0;83.0;0;7.0;3000.0;190.0;91.0;3361;5.9;Fair
3352;3353;150.0;1.0;USA;8500000.0;140244.0;20419;259.0;147.0;8000;163.0;2000.0;716.0;636.0;4168;6.7;Good
3936;3937;115.0;0.0;France;;;29440;110.0;332.0;12000;227.0;690.0;227.0;226.0;1298;7.1;Good
4142;4143;95.0;2.0;USA;;;3443;20.0;34.0;480;7.0;2000.0;536.0;463.0;3648;5.9;Fair
2155;2156;100.0;1.0;USA;28000000.0;153665036.0;84824;95.0;50.0;0;12000.0;936.0;901.0;605.0;4121;6.4;Good
2808;2809;97.0;4.0;UK;;2656324.0;16444;79.0;135.0;2000;11.0;14000.0;1000.0;548.0;16431;6.7;Good
4281;4282;150.0;0.0;UK;18000000.0;4414535.0;30618;224.0;85.0;0;0.0;597.0;591.0;401.0;1645;7.8;Good
4805;4806;97.0;1.0;UK;650000.0;;10577;64.0;46.0;0;350.0;114.0;61.0;33.0;260;6.9;Good
4916;4917;89.0;3.0;USA;2500000.0;;374;10.0;25.0;83;0.0;236.0;189.0;31.0;518;5.4;Fair
4239;4240;89.0;0.0;Norway;15500000.0;313436.0;12244;95.0;67.0;0;16.0;117.0;21.0;14.0;155;7.6;Good
2710;2711;91.0;0.0;USA;15000000.0;8080116.0;6562;66.0;49.0;647;6.0;8000.0;625.0;596.0;10732;5.6;Fair
4328;4329;88.0;0.0;USA;2000000.0;;2701;31.0;21.0;153;0.0;633.0;597.0;332.0;2620;4.9;Fair
579;580;85.0;0.0;USA;71500000.0;144156464.0;74343;98.0;73.0;694;84.0;1000.0;1000.0;595.0;4166;5.3;Fair
3612;3613;102.0;1.0;USA;6000000.0;11434867.0;59637;130.0;216.0;21000;49.0;24000.0;14000.0;10000.0;51355;7.1;Good
4986;4987;98.0;0.0;USA;65000.0;389804.0;11816;35.0;113.0;0;969.0;969.0;529.0;433.0;2530;6.3;Good
975;976;132.0;0.0;Canada;50000000.0;46982632.0;172792;1740.0;267.0;0;50.0;992.0;495.0;368.0;1933;6.6;Good
1119;1120;124.0;0.0;USA;45000000.0;19719930.0;42621;531.0;150.0;0;0.0;723.0;44.0;19.0;793;6.8;Good
3007;3008;95.0;2.0;USA;7500000.0;;27052;124.0;82.0;0;165.0;686.0;327.0;280.0;1501;6.8;Good
449;450;110.0;1.0;USA;80000000.0;130313314.0;168172;380.0;265.0;0;88.0;13000.0;12000.0;11000.0;44798;6.5;Good
3128;3129;102.0;0.0;USA;65000000.0;;408;6.0;78.0;21000;38.0;3000.0;424.0;190.0;3691;7.3;Good
4518;4519;105.0;0.0;USA;;247740.0;285;8.0;12.0;51;0.0;;;;0;4.7;Fair
489;490;117.0;2.0;USA;;27779888.0;55913;182.0;95.0;0;93.0;12000.0;1000.0;904.0;14831;6.9;Good
1961;1962;107.0;2.0;USA;25000000.0;14637490.0;16411;136.0;160.0;0;0.0;798.0;374.0;255.0;2537;4.8;Fair
4691;4692;104.0;;USA;1000000.0;;1354;17.0;23.0;523;0.0;601.0;524.0;195.0;1581;6.3;Good
3539;3540;115.0;0.0;USA;6900000.0;41400000.0;39451;138.0;38.0;0;16000.0;16000.0;455.0;240.0;17209;7.3;Good
1492;1493;102.0;1.0;USA;38000000.0;7659747.0;14962;204.0;112.0;704;241.0;13000.0;891.0;127.0;14165;5.1;Fair
622;623;95.0;0.0;USA;70000000.0;13596911.0;25572;123.0;81.0;2000;101.0;2000.0;509.0;443.0;3734;6.2;Good
4651;4652;90.0;4.0;USA;1000000.0;;122;3.0;6.0;181;66.0;904.0;782.0;734.0;5435;7.1;Good
85;86;136.0;1.0;USA;170000000.0;259746958.0;496749;742.0;576.0;55000;94.0;19000.0;11000.0;2000.0;36188;7.8;Good
1825;1826;93.0;2.0;UK;28000000.0;5204007.0;42876;167.0;95.0;0;31.0;783.0;132.0;57.0;1044;6.3;Good
134;135;131.0;0.0;China;150000000.0;195000874.0;232187;440.0;465.0;47000;188.0;10000.0;10000.0;641.0;21840;7.4;Good
2814;2815;115.0;0.0;USA;15000000.0;183088.0;11704;36.0;57.0;702;168.0;697.0;329.0;322.0;2243;7.0;Good
1794;1795;131.0;0.0;UK;27500000.0;67900000.0;74374;225.0;106.0;0;46.0;594.0;303.0;293.0;1898;6.6;Good
3946;3947;112.0;0.0;Australia;16000000.0;317125.0;23334;87.0;141.0;0;105.0;18000.0;6000.0;748.0;25269;6.2;Good
4824;4825;94.0;0.0;Greece;;110197.0;44864;170.0;211.0;13000;252.0;47.0;37.0;14.0;126;7.3;Good
4794;4795;91.0;0.0;UK;229575.0;1229197.0;382240;660.0;131.0;14000;0.0;795.0;561.0;332.0;2158;8.3;Excellent
3463;3464;104.0;0.0;Canada;7500000.0;;4099;29.0;36.0;0;249.0;294.0;284.0;96.0;835;5.1;Fair
1908;1909;109.0;3.0;USA;25000000.0;66489425.0;101977;161.0;270.0;0;175.0;24000.0;736.0;733.0;26625;6.5;Good
1800;1801;122.0;2.0;USA;27500000.0;9664316.0;47203;197.0;131.0;0;151.0;24000.0;15000.0;11000.0;50950;6.8;Good
3644;3645;76.0;1.0;USA;8600000.0;;2989;38.0;19.0;176;17.0;636.0;472.0;259.0;2152;5.8;Fair
4335;4336;91.0;3.0;USA;2000000.0;;3605;20.0;12.0;0;10.0;924.0;472.0;293.0;2654;5.7;Fair
1516;1517;101.0;0.0;Japan;34000000.0;15081783.0;85589;144.0;256.0;0;6000.0;6.0;3.0;2.0;13;7.7;Good
624;625;133.0;1.0;USA;70000000.0;7097125.0;38983;207.0;261.0;11000;0.0;26000.0;326.0;301.0;28129;5.4;Fair
286;287;119.0;0.0;USA;100000000.0;180011740.0;177725;1368.0;230.0;0;13000.0;1000.0;658.0;567.0;2776;5.7;Fair
4528;4529;89.0;1.0;USA;1000000.0;;20678;199.0;87.0;0;136.0;844.0;184.0;42.0;1080;6.7;Good
1783;1784;119.0;0.0;Canada;28000000.0;8888143.0;22250;123.0;74.0;913;116.0;738.0;428.0;385.0;2171;6.7;Good
754;755;124.0;2.0;USA;60000000.0;51045801.0;11370;54.0;34.0;829;50.0;1000.0;944.0;672.0;3653;6.1;Good
3927;3928;96.0;0.0;USA;4000000.0;1325073.0;18762;91.0;114.0;708;101.0;730.0;394.0;71.0;1208;6.6;Good
1869;1870;129.0;1.0;USA;25100000.0;25517500.0;40941;320.0;242.0;0;0.0;2000.0;826.0;655.0;4264;6.4;Good
1933;1934;93.0;1.0;UK;25000000.0;29247405.0;28377;261.0;33.0;0;14.0;1000.0;401.0;199.0;2176;3.3;Bad
503;504;104.0;0.0;France;40000000.0;19406406.0;7630;42.0;113.0;0;63.0;67.0;63.0;7.0;152;7.8;Good
2785;2786;118.0;7.0;USA;14000000.0;;16294;252.0;82.0;889;128.0;931.0;726.0;467.0;2704;3.7;Bad
4200;4201;100.0;7.0;USA;2500000.0;118666.0;91;3.0;3.0;144;10.0;655.0;157.0;107.0;1064;6.6;Good
1424;1425;109.0;1.0;USA;35000000.0;52277485.0;32370;196.0;74.0;0;19.0;1000.0;762.0;568.0;4231;6.9;Good
4843;4844;80.0;0.0;USA;300000.0;;19875;147.0;164.0;0;43.0;13000.0;926.0;668.0;14950;6.2;Good
3637;3638;104.0;0.0;China;6000000.0;1346503.0;3024;22.0;56.0;0;61.0;974.0;595.0;451.0;2430;6.1;Good
813;814;133.0;0.0;USA;58800000.0;350123553.0;325264;916.0;490.0;112000;16000.0;14000.0;962.0;318.0;16277;7.3;Good
137;138;91.0;0.0;USA;150000000.0;126597121.0;105902;206.0;194.0;0;58.0;2000.0;852.0;826.0;6576;6.2;Good
298;299;103.0;3.0;USA;92000000.0;85017401.0;246803;474.0;383.0;108000;165.0;26000.0;13000.0;13000.0;57881;6.7;Good
9;10;183.0;0.0;USA;250000000.0;330249062.0;371639;3018.0;673.0;197000;0.0;15000.0;4000.0;2000.0;24450;6.9;Good
1278;1279;119.0;1.0;USA;40000000.0;25178165.0;70292;274.0;94.0;8000;7.0;18000.0;9000.0;903.0;29484;6.7;Good
2895;2896;117.0;0.0;USA;12500000.0;21078145.0;26493;159.0;121.0;0;18000.0;18000.0;638.0;543.0;20456;7.3;Good
2592;2593;91.0;3.0;USA;15600000.0;13571817.0;5312;40.0;32.0;939;10.0;890.0;578.0;574.0;3104;4.5;Fair
2443;2444;105.0;1.0;USA;18000000.0;8508843.0;7470;35.0;11.0;0;6.0;723.0;422.0;371.0;2368;5.5;Fair
2770;2771;92.0;0.0;USA;14000000.0;49122319.0;47169;162.0;264.0;17000;30.0;941.0;459.0;309.0;2348;5.9;Fair
3525;3526;106.0;0.0;USA;7000000.0;382946.0;43965;99.0;134.0;19000;58.0;23000.0;20000.0;973.0;44969;7.1;Good
3591;3592;106.0;4.0;USA;6000000.0;23272306.0;740918;1182.0;162.0;28000;0.0;18000.0;979.0;574.0;20821;8.6;Excellent
4453;4454;99.0;0.0;Canada;3150000.0;;4948;33.0;63.0;969;10.0;756.0;382.0;295.0;2072;5.5;Fair
1621;1622;99.0;2.0;USA;30000000.0;60269340.0;34079;97.0;145.0;0;5.0;2000.0;1000.0;966.0;6930;6.0;Fair
2345;2346;102.0;3.0;China;25000000.0;;5154;29.0;29.0;314;10.0;483.0;472.0;60.0;1113;6.2;Good
2614;2615;109.0;1.0;USA;10000000.0;69800000.0;18140;60.0;25.0;855;6.0;1000.0;745.0;271.0;2419;6.1;Good
1086;1087;83.0;7.0;USA;45000000.0;71277420.0;119590;548.0;127.0;0;322.0;1000.0;422.0;179.0;1645;5.2;Fair
476;477;117.0;0.0;USA;;821997.0;666;40.0;19.0;91;69.0;898.0;577.0;87.0;1753;7.0;Good
4609;4610;76.0;0.0;USA;1000000.0;;9190;75.0;14.0;501;57.0;442.0;403.0;228.0;1635;6.7;Good
3660;3661;25.0;0.0;UK;;;55987;42.0;15.0;0;;229.0;223.0;220.0;1239;8.4;Excellent
3288;3289;91.0;1.0;USA;9000000.0;20035310.0;12324;173.0;64.0;580;0.0;3000.0;683.0;407.0;4409;4.9;Fair
3122;3123;114.0;1.0;USA;17000000.0;30050028.0;42987;201.0;83.0;0;9.0;623.0;472.0;466.0;2484;6.5;Good
1616;1617;91.0;0.0;Australia;30000000.0;66600000.0;94435;182.0;79.0;5000;108.0;405.0;368.0;204.0;1185;6.8;Good
1527;1528;89.0;0.0;USA;30000000.0;21426805.0;49312;211.0;195.0;0;21.0;614.0;150.0;48.0;843;4.9;Fair
3220;3221;103.0;0.0;USA;5000000.0;3093491.0;8307;37.0;129.0;5000;593.0;374.0;362.0;241.0;1283;6.6;Good
1174;1175;30.0;1.0;USA;;;1558;18.0;4.0;455;;870.0;284.0;253.0;1610;7.5;Good
744;745;91.0;0.0;USA;48000000.0;64505912.0;163130;1264.0;323.0;6000;0.0;11000.0;946.0;751.0;13654;5.0;Fair
4729;4730;89.0;0.0;USA;500000.0;5739376.0;58260;286.0;154.0;0;310.0;22000.0;833.0;587.0;24419;7.7;Good
1832;1833;97.0;2.0;USA;26000000.0;110222438.0;96693;271.0;129.0;0;70.0;2000.0;528.0;512.0;3984;6.1;Good
1721;1722;160.0;0.0;USA;30000000.0;3904982.0;136104;415.0;273.0;0;181.0;11000.0;10000.0;820.0;22516;7.5;Good
552;553;148.0;2.0;USA;75000000.0;39251128.0;31080;217.0;91.0;0;72.0;582.0;103.0;99.0;804;6.7;Good
1017;1018;84.0;0.0;USA;55000000.0;21283440.0;46239;137.0;174.0;0;260.0;6000.0;694.0;692.0;8018;6.0;Fair
3797;3798;90.0;0.0;USA;5000000.0;65087.0;8824;108.0;133.0;559;0.0;343.0;29.0;15.0;408;6.2;Good
4399;4400;99.0;0.0;USA;;;3313;40.0;68.0;2000;4.0;427.0;253.0;114.0;992;3.7;Bad
2643;2644;227.0;8.0;UK;15000000.0;6000000.0;192775;559.0;181.0;11000;767.0;607.0;202.0;87.0;1076;8.4;Excellent
2567;2568;110.0;1.0;USA;16000000.0;13998282.0;24854;374.0;169.0;31000;179.0;12000.0;1000.0;734.0;15044;3.1;Bad
2732;2733;116.0;0.0;Canada;;819852.0;6690;83.0;95.0;284;460.0;5000.0;203.0;71.0;5426;7.0;Good
3646;3647;95.0;1.0;USA;12000000.0;65804.0;32512;86.0;162.0;0;24.0;16000.0;10000.0;874.0;27575;6.3;Good
3042;3043;86.0;1.0;USA;11000000.0;23978402.0;10966;100.0;62.0;365;5.0;584.0;580.0;532.0;3850;4.6;Fair
1021;1022;108.0;2.0;USA;22000000.0;9528092.0;38513;127.0;214.0;9000;218.0;6000.0;3000.0;405.0;10191;6.8;Good
525;526;104.0;0.0;USA;75000000.0;157299717.0;452928;1401.0;290.0;0;0.0;20000.0;764.0;505.0;21397;7.4;Good
1541;1542;99.0;1.0;Canada;35000000.0;81150692.0;20219;100.0;67.0;0;32.0;773.0;664.0;521.0;2916;5.1;Fair
690;691;102.0;3.0;USA;65000000.0;13750556.0;111102;239.0;339.0;32000;436.0;23000.0;13000.0;6000.0;49433;6.5;Good
4911;4912;126.0;0.0;Denmark;;;9903;49.0;54.0;863;147.0;0.0;0.0;0.0;0;8.1;Excellent
566;567;97.0;0.0;USA;73000000.0;107225164.0;27130;126.0;141.0;14000;6.0;22000.0;1000.0;415.0;24350;6.3;Good
3699;3700;81.0;0.0;USA;4900000.0;56536016.0;13523;95.0;159.0;0;26.0;2000.0;509.0;300.0;3344;6.9;Good
1395;1396;95.0;1.0;USA;35200000.0;37788228.0;15046;80.0;44.0;638;0.0;1000.0;812.0;642.0;4537;5.4;Fair
3560;3561;102.0;3.0;USA;6500000.0;16842303.0;59474;418.0;137.0;0;218.0;900.0;563.0;376.0;2475;7.3;Good
1744;1745;88.0;0.0;Romania;12000000.0;17016190.0;28632;214.0;148.0;0;64.0;1000.0;857.0;363.0;2567;4.9;Fair
1348;1349;115.0;1.0;USA;38000000.0;39177215.0;30667;234.0;98.0;0;150.0;970.0;919.0;789.0;3770;5.6;Fair
4378;4379;106.0;1.0;Mexico;;12589108.0;5526;58.0;75.0;0;36.0;953.0;399.0;345.0;2198;7.4;Good
241;242;116.0;1.0;France;78000000.0;;20567;36.0;33.0;291;0.0;936.0;276.0;141.0;1609;5.1;Fair
3895;3896;108.0;0.0;USA;4000000.0;;39857;300.0;203.0;0;228.0;431.0;426.0;358.0;2020;7.3;Good
3134;3135;105.0;8.0;USA;10000000.0;20338609.0;19655;280.0;211.0;683;500.0;11000.0;912.0;718.0;12946;6.8;Good
3126;3127;100.0;4.0;USA;10000000.0;25339117.0;37885;247.0;76.0;0;4.0;982.0;945.0;678.0;4259;6.5;Good
4151;4152;90.0;1.0;Australia;;;4173;32.0;57.0;0;18.0;130.0;96.0;39.0;362;6.1;Good
3407;3408;75.0;0.0;France;6500000.0;686383.0;22811;71.0;118.0;11000;45.0;61.0;5.0;4.0;75;7.7;Good
1455;1456;103.0;0.0;USA;35000000.0;30669413.0;105478;291.0;119.0;0;81.0;2000.0;683.0;636.0;4722;6.2;Good
2973;2974;119.0;3.0;China;100000000.0;11041228.0;92295;420.0;248.0;0;611.0;755.0;483.0;4.0;1244;7.6;Good
2518;2519;94.0;0.0;Canada;;7070459.0;4600;18.0;62.0;238;8.0;328.0;122.0;66.0;760;3.3;Bad
3274;3275;92.0;0.0;Australia;8500000.0;;13003;80.0;54.0;10000;25.0;509.0;446.0;110.0;1248;7.5;Good
2760;2761;139.0;1.0;Denmark;14200000.0;74205.0;18646;81.0;140.0;1000;3000.0;3000.0;769.0;236.0;4211;7.4;Good
714;715;149.0;0.0;USA;61000000.0;167735396.0;569841;1127.0;568.0;146000;21000.0;835.0;812.0;625.0;4348;8.1;Excellent
891;892;117.0;1.0;USA;54000000.0;81645152.0;158267;559.0;224.0;0;0.0;12000.0;919.0;845.0;15371;6.7;Good
4553;4554;94.0;0.0;USA;;4417124.0;42389;183.0;120.0;37000;11.0;37.0;3.0;2.0;42;7.9;Good
4692;4693;88.0;0.0;USA;;;551;10.0;8.0;303;0.0;618.0;592.0;311.0;2476;4.0;Bad
4473;4474;130.0;2.0;USA;1288000.0;;87424;276.0;144.0;0;13000.0;1000.0;991.0;333.0;2888;8.2;Excellent
101;102;132.0;3.0;USA;160000000.0;146405371.0;518537;698.0;500.0;54000;905.0;34000.0;13000.0;1000.0;50983;7.8;Good
109;110;113.0;4.0;USA;155000000.0;104383624.0;106446;227.0;228.0;11000;150.0;531.0;82.0;59.0;764;6.3;Good
2184;2185;72.0;0.0;USA;20000000.0;47887943.0;11634;58.0;85.0;227;0.0;3000.0;455.0;384.0;4480;5.4;Fair
553;554;110.0;1.0;USA;75000000.0;83503161.0;138190;405.0;284.0;30000;763.0;15000.0;1000.0;222.0;16691;6.1;Good
