;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
363;364;158.0;1.0;USA;90000000.0;102515793.0;330152;632.0;517.0;54000;21000.0;18000.0;1000.0;585.0;20388;7.8;Good
223;224;123.0;1.0;USA;110000000.0;115802596.0;182661;681.0;276.0;0;160.0;12000.0;701.0;402.0;14017;5.2;Fair
4682;4683;88.0;0.0;USA;750000.0;47329.0;1661;31.0;31.0;163;168.0;108.0;72.0;21.0;243;6.6;Good
2219;2220;87.0;1.0;Japan;27000000.0;26876529.0;26624;189.0;141.0;0;2.0;741.0;297.0;270.0;1834;3.9;Bad
3162;3163;106.0;3.0;USA;10000000.0;14479776.0;55539;147.0;325.0;20000;13000.0;11000.0;430.0;309.0;12418;7.0;Good
2618;2619;101.0;0.0;USA;300000.0;47000000.0;157857;1191.0;318.0;12000;0.0;2000.0;742.0;598.0;4400;7.9;Good
2424;2425;121.0;1.0;USA;18000000.0;45250.0;235133;494.0;151.0;0;17000.0;22000.0;394.0;356.0;23008;8.3;Excellent
2859;2860;90.0;2.0;USA;6000000.0;22235901.0;4339;31.0;40.0;593;7.0;939.0;890.0;405.0;2815;6.1;Good
5001;5002;75.0;0.0;USA;50000.0;;106;5.0;7.0;225;14.0;252.0;132.0;130.0;638;3.7;Bad
679;680;121.0;2.0;USA;65000000.0;33328051.0;60508;285.0;94.0;4000;212.0;394.0;380.0;263.0;1531;6.7;Good
3800;3801;91.0;0.0;USA;5000000.0;;7888;55.0;56.0;0;110.0;46.0;21.0;14.0;117;4.2;Fair
1266;1267;136.0;3.0;USA;40000000.0;42615685.0;136093;416.0;303.0;24000;3000.0;14000.0;9000.0;3000.0;28927;6.1;Good
1866;1867;125.0;5.0;USA;25000000.0;219200000.0;181380;223.0;57.0;0;0.0;49000.0;1000.0;711.0;52201;6.9;Good
1472;1473;109.0;3.0;USA;35000000.0;19692608.0;63548;134.0;298.0;0;90.0;1000.0;412.0;344.0;2073;6.2;Good
1756;1757;120.0;12.0;USA;30000000.0;7443007.0;24663;71.0;210.0;0;0.0;579.0;489.0;210.0;1500;6.7;Good
4216;4217;101.0;0.0;UK;2500000.0;;2753;82.0;20.0;0;15.0;844.0;722.0;663.0;3132;3.1;Bad
766;767;100.0;0.0;Australia;60000000.0;257756197.0;246698;471.0;435.0;64000;97.0;11000.0;8000.0;2000.0;22128;7.8;Good
2112;2113;104.0;0.0;USA;22000000.0;5974653.0;2253;111.0;18.0;158;53.0;2000.0;595.0;576.0;4221;4.1;Fair
3039;3040;92.0;0.0;Canada;11000000.0;27669413.0;76207;194.0;156.0;0;52.0;723.0;651.0;647.0;3101;6.0;Fair
36;37;165.0;2.0;USA;210000000.0;245428137.0;242420;918.0;378.0;56000;0.0;974.0;956.0;808.0;3988;5.7;Fair
2477;2478;98.0;2.0;USA;23000000.0;58006147.0;67653;108.0;97.0;0;209.0;158.0;152.0;129.0;816;6.2;Good
1096;1097;110.0;2.0;Peru;45000000.0;57362581.0;50148;116.0;38.0;0;49.0;13000.0;279.0;20.0;13331;5.4;Fair
4965;4966;80.0;1.0;UK;1800000.0;;5747;44.0;61.0;246;3.0;798.0;279.0;140.0;1401;5.6;Fair
4692;4693;88.0;0.0;USA;;;551;10.0;8.0;303;0.0;618.0;592.0;311.0;2476;4.0;Bad
828;829;103.0;0.0;USA;57000000.0;51317350.0;78343;139.0;60.0;0;357.0;2000.0;663.0;40.0;2710;6.4;Good
2476;2477;91.0;2.0;France;18000000.0;;5693;34.0;59.0;0;512.0;11000.0;918.0;413.0;13545;5.3;Fair
4986;4987;98.0;0.0;USA;65000.0;389804.0;11816;35.0;113.0;0;969.0;969.0;529.0;433.0;2530;6.3;Good
3306;3307;92.0;1.0;USA;9000000.0;4881867.0;15200;76.0;129.0;1000;26.0;1000.0;1000.0;611.0;3767;6.4;Good
2901;2902;93.0;1.0;USA;18000000.0;;14193;106.0;130.0;0;261.0;783.0;782.0;697.0;3700;6.1;Good
4640;4641;97.0;0.0;USA;3000000.0;;139;3.0;10.0;52;171.0;1000.0;171.0;76.0;1343;7.3;Good
4469;4470;87.0;1.0;USA;1000000.0;19539.0;4182;53.0;35.0;3000;4.0;2000.0;1000.0;624.0;6227;6.2;Good
2490;2491;110.0;2.0;USA;17500000.0;19179969.0;54710;177.0;91.0;0;422.0;33000.0;459.0;422.0;35345;6.3;Good
795;796;121.0;0.0;Germany;50000000.0;22518325.0;63363;644.0;240.0;0;0.0;19000.0;972.0;854.0;22833;5.6;Fair
1473;1474;99.0;0.0;USA;35000000.0;19294901.0;26126;325.0;158.0;0;0.0;1000.0;573.0;520.0;2535;5.0;Fair
76;77;118.0;4.0;USA;175000000.0;150167630.0;174578;534.0;250.0;0;208.0;23000.0;2000.0;570.0;26683;5.8;Fair
943;944;96.0;2.0;USA;50000000.0;150315155.0;54010;130.0;145.0;13000;51.0;8000.0;2000.0;322.0;10886;6.1;Good
1291;1292;102.0;1.0;USA;40000000.0;14967182.0;27305;284.0;102.0;604;19.0;13000.0;530.0;351.0;14463;5.1;Fair
2055;2056;112.0;0.0;USA;23000000.0;39235088.0;193962;805.0;214.0;5000;123.0;14000.0;991.0;787.0;16196;7.1;Good
3378;3379;112.0;0.0;USA;;18811135.0;15337;172.0;95.0;0;3.0;876.0;801.0;268.0;2832;7.5;Good
4346;4347;97.0;1.0;UK;;466702.0;65877;100.0;249.0;17000;0.0;920.0;680.0;594.0;3275;7.3;Good
2089;2090;114.0;0.0;USA;22000000.0;50728000.0;48909;166.0;53.0;0;34.0;649.0;327.0;287.0;1725;5.8;Fair
2615;2616;124.0;0.0;USA;;79900000.0;12974;84.0;46.0;0;150.0;874.0;816.0;572.0;2667;7.5;Good
2305;2306;100.0;0.0;Canada;22000000.0;6852144.0;15169;213.0;129.0;0;17.0;669.0;429.0;86.0;1267;6.2;Good
1586;1587;108.0;0.0;USA;30000000.0;145096820.0;200260;431.0;142.0;0;6.0;3000.0;1000.0;1000.0;7872;6.4;Good
92;93;98.0;0.0;USA;165000000.0;217387997.0;485430;492.0;288.0;33000;255.0;18000.0;953.0;759.0;20453;8.2;Excellent
4175;4176;99.0;1.0;China;15000000.0;;1418;4.0;5.0;30;0.0;11.0;4.0;4.0;19;7.4;Good
3793;3794;95.0;1.0;USA;3209000.0;;989;23.0;9.0;44;5.0;197.0;116.0;100.0;538;6.2;Good
853;854;114.0;1.0;Germany;55000000.0;78745923.0;94407;322.0;110.0;0;52.0;12000.0;702.0;539.0;13905;6.7;Good
584;585;132.0;0.0;USA;70000000.0;141204016.0;142569;737.0;191.0;10000;357.0;14000.0;223.0;212.0;14790;5.8;Fair
458;459;54.0;0.0;USA;;;213483;394.0;95.0;55000;;577.0;4.0;0.0;581;8.8;Excellent
2363;2364;93.0;0.0;USA;19000000.0;40846082.0;45317;536.0;147.0;0;37.0;885.0;828.0;545.0;2872;5.6;Fair
1549;1550;89.0;8.0;USA;35000000.0;21784432.0;37493;108.0;133.0;0;16.0;49000.0;22000.0;2000.0;74181;5.6;Fair
738;739;130.0;2.0;USA;60000000.0;80033643.0;226570;448.0;387.0;38000;188.0;10000.0;3000.0;1000.0;16385;7.0;Good
4195;4196;106.0;1.0;Spain;2000000.0;395592.0;21202;134.0;72.0;0;148.0;900.0;648.0;471.0;2972;7.6;Good
105;106;113.0;1.0;USA;170000000.0;76846624.0;21352;131.0;218.0;30000;33.0;40000.0;25000.0;11000.0;80806;6.4;Good
2882;2883;125.0;2.0;Germany;13000000.0;1172769.0;28068;108.0;94.0;0;0.0;22000.0;14000.0;968.0;37606;7.1;Good
2521;2522;97.0;0.0;UK;17000000.0;2315683.0;4081;28.0;21.0;154;3.0;400.0;193.0;161.0;805;3.0;Bad
2129;2130;106.0;4.0;Spain;22000000.0;;6920;22.0;82.0;0;195.0;20.0;10.0;0.0;30;6.7;Good
3702;3703;88.0;0.0;USA;4500000.0;44793200.0;49820;311.0;131.0;0;55.0;506.0;449.0;150.0;1584;6.6;Good
209;210;134.0;4.0;Canada;110000000.0;214948780.0;405973;1055.0;289.0;0;0.0;20000.0;505.0;346.0;20952;7.5;Good
1885;1886;99.0;1.0;USA;25000000.0;134141530.0;75903;109.0;146.0;0;167.0;655.0;521.0;460.0;2394;6.2;Good
2638;2639;105.0;1.0;USA;37000000.0;20991497.0;39782;172.0;138.0;11000;488.0;15000.0;14000.0;13000.0;44037;5.4;Fair
3381;3382;128.0;0.0;USA;50000000.0;50815288.0;109191;625.0;358.0;0;79.0;13000.0;903.0;414.0;14747;7.0;Good
2192;2193;129.0;0.0;USA;20000000.0;37567440.0;113068;337.0;166.0;0;468.0;919.0;691.0;183.0;2024;6.9;Good
600;601;116.0;0.0;USA;70000000.0;83552429.0;154955;800.0;355.0;25000;473.0;833.0;697.0;464.0;4001;5.8;Fair
2007;2008;117.0;9.0;USA;25000000.0;134904.0;2395;17.0;49.0;636;138.0;908.0;581.0;416.0;3204;5.7;Fair
617;618;125.0;0.0;USA;60000000.0;19076815.0;43651;196.0;112.0;997;40.0;13000.0;787.0;407.0;15916;6.3;Good
3996;3997;93.0;2.0;USA;3500000.0;10305534.0;1721;38.0;19.0;280;0.0;625.0;118.0;78.0;987;3.9;Bad
3104;3105;90.0;0.0;Germany;10000000.0;37470017.0;86890;985.0;190.0;0;108.0;1000.0;322.0;270.0;1982;6.1;Good
628;629;99.0;0.0;USA;70000000.0;18821279.0;44891;202.0;156.0;12000;212.0;576.0;358.0;182.0;1520;4.2;Fair
3571;3572;105.0;0.0;USA;6500000.0;66637.0;29608;92.0;217.0;0;38.0;12000.0;712.0;706.0;14462;7.2;Good
1033;1034;85.0;1.0;USA;49000000.0;43905746.0;77684;294.0;98.0;0;70.0;26000.0;5000.0;848.0;32831;5.9;Fair
2662;2663;101.0;0.0;USA;15000000.0;24881000.0;57140;195.0;93.0;6000;26.0;838.0;328.0;266.0;1812;6.2;Good
3965;3966;94.0;1.0;South Africa;4000000.0;;724;15.0;3.0;365;103.0;544.0;476.0;111.0;1150;4.7;Fair
4041;4042;99.0;0.0;USA;;2277396.0;29239;70.0;122.0;0;6.0;828.0;390.0;194.0;1936;7.2;Good
