Life expectancy,Adult Mortality,infant deaths,Income composition of resources,Schooling
75.6,138,0,0.783,14.1
75.4,14,0,0.788,14.2
75.2,142,0,0.786,14.4
75,144,0,0.781,14.5
74.8,145,0,0.773,14.7
74.6,147,0,0,0
74.4,149,0,0,0
74.2,151,0,0,0
74,153,0,0,0
73.8,154,0,0,0
73.6,156,0,0,0
76.3,116,8,0.826,17.3
76.2,118,8,0.825,17.3
76,119,8,0.823,17.3
75.9,12,9,0.822,17.2
75.7,12,9,0.816,17.1
75.5,121,10,0.802,16.8
75.6,126,10,0.794,16.5
75.4,126,10,0.792,16.3
74.8,129,10,0.788,16.3
75.2,127,11,0.782,16.1
74.9,127,11,0.78,16.3
74.7,13,11,0.775,16.3
74.1,137,11,0.77,16.4
74.1,138,12,0.776,16.3
74,138,12,0.771,15.6
74.1,137,12,0.764,15
74.8,118,1,0.741,12.7
74.6,12,1,0.739,12.7
74.4,123,1,0.736,12.7
74.4,121,1,0.732,12.7
73.9,128,1,0.729,12.7
73.5,132,1,0.72,12.3
73.3,137,1,0.725,11.9
73.2,14,1,0.721,12.3
73.5,132,1,0.707,11.7
72.9,141,1,0.692,11.2
73,137,1,0.679,10.9
73,132,1,0.668,10.9
72.7,134,1,0.657,10.8
72.6,134,1,0.645,10.8
72.6,141,1,0.644,11.1
72,142,1,0.639,11.2
82.8,59,1,0.937,20.4
82.7,6,1,0.936,20.4
82.5,61,1,0.933,20.3
82.3,61,1,0.93,20.1
82,63,1,0.927,19.8
81.9,64,1,0.927,19.5
81.7,66,1,0.925,19.1
81.3,66,1,0.921,19.1
81.3,66,1,0.918,19
81.2,66,1,0.915,20.3
81,67,1,0.91,20.3
86,69,1,0.908,20.7
83,71,1,0.905,20.6
79.9,73,1,0.902,20.1
79.9,75,1,0.899,20.5
79.5,78,1,0.897,20.4
81.5,65,0,0.892,15.9
81.4,66,0,0.892,15.9
81.1,68,0,0.887,15.7
88,7,0,0.884,15.7
88,73,0,0.88,15.7
84,75,0,0.872,15.4
82,77,0,0.87,15.3
84,76,0,0.864,15.1
81,8,0,0.86,15.2
79.8,81,0,0.854,15
79.4,85,0,0.848,14.9
79.3,86,0,0.841,14.7
78.8,88,0,0.837,14.7
78.7,9,0,0.847,16.1
78.6,92,0,0.837,15.5
78.1,96,0,0.833,15.4
72.7,118,5,0.758,12.7
72.5,119,5,0.752,12.2
72.2,121,5,0.745,11.9
71.9,123,5,0.742,11.8
71.6,125,5,0.741,11.7
71.1,13,5,0.737,11.7
78,132,6,0.728,11.6
73,141,6,0.719,11.6
73,14,6,0.708,11.6
69.2,154,6,0.682,10.7
68.4,162,6,0.675,11.2
68.4,154,6,0.668,11
67.8,154,7,0.659,10.8
67.8,146,7,0.651,10.6
67.5,151,8,0.642,10.4
66.6,16,9,0.636,10.1
76.1,147,0,0.79,12.6
75.4,16,0,0.789,12.6
74.8,172,0,0.79,12.6
74.9,167,0,0.789,12.6
75,162,0,0.788,12.6
75,161,0,0.788,12.6
74.6,168,0,0.791,12.6
74.5,167,0,0.791,12.6
74.4,167,0,0.79,12.5
74.2,171,0,0.788,12.4
74.1,172,0,0.786,12.4
73.8,174,0,0.784,12.3
73.2,189,0,0.783,12.2
73.1,19,0,0.781,12.1
72.9,189,0,0.779,12.1
72.6,192,0,0,12
76.9,69,0,0.823,14.5
76.8,7,0,0.82,14.5
76.7,7,0,0.815,14.5
76.5,71,0,0.812,14.5
76.1,76,0,0.812,14.4
76.1,73,0,0.81,14.4
76,74,0,0.814,14.4
75.8,76,0,0.815,14.4
75.6,77,0,0.813,14.4
75.5,79,0,0.81,14.2
75.3,81,0,0.806,14
75.2,83,0,0.803,13.9
75,85,0,0.798,13.7
74.9,87,0,0.796,13.5
74.7,9,0,0.794,13.3
74.5,92,0,0.786,13.2
71.8,129,92,0.575,10.2
71.4,132,98,0.57,10
71,135,104,0.565,10
77,137,111,0.557,9.9
73,14,118,0.545,9.4
69.9,142,126,0.535,8.9
69.5,144,135,0.523,8.4
69.1,147,144,0.52,8.6
68.6,151,154,0.513,8.6
68.2,152,164,0.506,8.4
67.8,155,174,0.499,8.2
67.3,158,185,0.491,8.1
66.8,161,196,0.484,7.9
66.3,164,207,0.476,7.7
65.8,168,219,0.468,7.5
65.3,173,231,0.459,7.3
75.5,98,0,0.794,15.3
75.4,1,0,0.793,15.3
75.2,11,0,0.792,15.3
75.1,12,0,0.785,15.3
74.9,14,0,0.78,15.5
74.7,16,0,0.781,15.8
74.6,19,0,0.779,15.5
74.4,111,0,0.775,15.3
74.2,113,0,0.771,15
74.1,115,0,0.766,14.8
73.9,117,0,0.761,14.6
73.8,119,0,0.757,14.4
73.7,121,0,0.753,14.2
73.5,123,0,0.749,14
73.4,125,0,0.75,14
73.3,127,0,0.741,14
72.3,196,0,0.798,15.6
72,199,0,0.796,15.7
71.7,23,0,0.796,15.7
71.9,194,0,0.793,15.6
72,232,0,0.787,15.5
73,222,0,0.78,15.5
70,226,0,0.771,15.4
70,224,1,0.755,15.1
69.8,226,1,0.739,14.9
68.9,243,1,0.723,14.6
68.1,252,1,0.713,14.4
68.2,247,1,0.703,14.1
67.7,253,1,0.695,13.9
67.2,262,1,0.687,13.6
67.7,254,1,0.681,13.3
68,247,1,0.675,13.1
81.1,74,0,0.895,16.6
89,76,0,0.89,16.3
87,77,0,0.889,16.3
83,78,0,0.886,16.2
83,8,0,0.884,16.1
80,81,0,0.878,15.9
79.8,85,0,0.876,15.8
79.5,87,0,0.874,15.8
79.5,86,0,0.871,15.8
79.4,85,0,0.865,15.7
78.9,89,0,0.861,15.7
78.8,91,1,0.88,18.8
78.3,95,0,0.878,18.6
78,99,1,0.875,18.8
78,1,1,0.873,18.2
77.6,11,1,0.869,18
71,175,0,0.706,12.8
70,177,0,0.705,12.8
69.8,18,0,0.706,12.9
69.4,189,0,0.702,12.5
69.4,188,0,0.7,12.4
69.5,186,0,0.7,12.4
69.5,184,0,0.7,12.7
69.6,181,0,0.699,12.8
69.6,181,0,0.7,12.8
69.4,184,0,0.692,12.3
69,191,0,0.695,12.8
68.7,197,0,0.691,12.5
68.4,21,0,0.684,12.2
68.5,199,0,0.678,11.9
68.2,21,0,0.677,11.8
68.3,196,0,0.668,11.7
60,249,25,0.481,10.7
59.7,252,25,0.475,10.7
59.5,251,25,0.466,10.3
59.3,251,25,0.458,10
59.1,251,25,0.454,9.8
58.7,254,25,0.451,9.5
58.4,259,25,0.448,9.3
57.6,278,25,0.444,9.1
57.1,283,25,0.438,8.9
56.8,284,25,0.434,8.7
56.5,285,25,0.43,8.5
56.1,285,25,0.423,8.1
55.8,285,25,0.416,7.7
55.6,283,25,0.407,7.3
55.5,281,25,0.395,6.6
55.4,279,25,0.389,6.4
69.8,211,0,0.604,12.5
69.4,216,0,0.596,12.5
69.1,219,0,0.589,12.6
68.7,223,0,0.581,12.3
68.3,225,0,0.572,11.9
67.9,228,1,0,11.4
67.4,232,1,0,10.9
67,234,1,0,10.5
66.5,238,1,0,10.1
65.8,245,1,0,9.6
65,254,1,0,9.2
64.2,263,1,0,8.8
63.3,273,1,0,8.4
62.5,282,1,0,8
61.7,29,1,0,7.6
62,312,1,0,7.3
77,186,8,0.671,13.8
74,189,8,0.666,13.8
71,192,8,0.661,13.8
69.8,194,8,0.655,13.8
69.3,198,9,0.649,13.8
68.7,22,9,0.643,13.8
68,27,10,0.636,13.8
67.4,211,10,0.632,14
66.8,216,11,0.626,14.1
66.2,219,11,0.625,14.3
65.7,222,12,0.622,14.4
65.1,226,12,0.62,14.6
64.5,23,13,0.617,14.4
63.9,234,14,0.61,14
63.3,238,14,0.607,13.7
62.6,243,15,0.6,13.3
77.4,88,0,0.747,14.2
77.2,89,0,0.742,14.2
77,9,0,0.735,14.2
76.8,92,0,0.728,13.9
76.9,92,0,0.711,13.4
76.4,94,0,0.717,13.3
76.1,97,0,0.716,13.3
76,98,0,0.71,13.1
75.4,16,0,0.703,12.9
75.7,1,0,0.697,12.7
75,12,0,0,12.5
75.5,99,0,0,12.3
75.2,12,0,0,12.1
75.4,11,0,0,11.9
74.9,113,0,0,11.6
74.6,116,0,0,0
65.7,256,2,0.698,12.6
65.1,268,2,0.697,12.6
64.2,286,2,0.693,12.6
63.4,3,2,0.687,12.5
62.2,325,2,0.678,12.4
61.1,349,2,0.669,12.3
59.2,393,2,0.661,12.2
57.5,427,2,0.646,12.1
56.9,436,2,0.63,12.1
54.8,491,2,0.61,11.9
51.7,566,2,0.593,11.9
48.1,652,2,0.58,11.8
46.4,693,2,0.567,11.8
46,699,2,0.558,11.9
46.7,679,2,0.56,11.8
47.8,647,2,0.559,11.7
75,142,42,0.754,15.2
74.8,144,44,0.747,15.2
74.7,146,46,0.734,14.2
74.5,148,49,0.73,14.2
74.1,152,51,0.724,14
73.8,154,54,0.716,13.8
73.6,157,57,0.714,13.8
73.4,158,61,0.704,13.3
73.3,159,65,0.7,13.5
73,161,70,0.698,13.8
72.7,163,75,0.694,13.8
72,17,81,0.695,14
71.8,172,88,0.699,14.8
71.4,176,95,0.692,14.6
71,179,103,0.685,14.3
75,183,111,0.677,14.1
77.7,78,0,0.864,14.9
77.6,8,0,0.863,0
77.1,84,0,0.86,14.9
78.3,79,0,0.852,14.4
77.4,79,0,0.846,14.1
76.9,79,0,0.845,14.2
76.8,88,0,0.841,14.1
77.2,84,0,0.84,14.2
76,1,0,0.84,14.3
76.3,93,0,0.837,14.3
76.2,92,0,0.834,14.1
76.4,89,0,0.828,13.7
76,89,0,0.823,13.4
74.8,95,0,0.82,13.3
74.7,19,0,0.819,13.4
74.4,16,0,0.818,13.4
74.5,137,0,0.792,15
74.3,138,1,0.787,14.8
74.1,14,1,0.781,14.4
73.9,139,1,0.778,14.3
73.7,144,1,0.775,14.2
73.4,147,1,0.77,13.9
73.2,152,1,0.768,13.8
72.9,155,1,0.761,13.8
72.6,157,1,0.755,13.5
72.2,161,1,0.75,13.5
72.1,16,1,0.745,13.5
72.2,157,1,0.738,13.3
72,155,1,0.729,12.9
71.8,157,1,0.723,12.9
71.6,16,1,0.713,12.9
71.1,163,1,0.709,12.9
59.9,26,38,0.399,7.7
59.3,268,39,0.398,7.7
59,27,40,0.392,7.5
58.6,271,41,0.384,7.2
58.1,275,42,0.377,6.7
57.5,279,43,0.365,6.3
56.9,283,44,0.356,5.9
56.1,288,45,0.345,5.4
55.3,293,46,0.334,4.9
54.3,32,47,0.325,4.7
53.3,313,48,0,4.3
52.4,323,49,0,3.9
51.6,332,49,0,3.8
51,338,49,0,3.6
56,344,48,0,3.5
51,348,48,0,3.4
59.6,288,21,0.406,10.6
59.1,297,22,0.404,10.6
58.6,33,22,0.398,10.5
58,312,22,0.393,10.3
57.4,321,22,0.385,9.9
56.8,33,23,0.361,9.3
56.2,338,23,0.336,8.6
55.3,35,23,0.319,7.9
54.8,355,24,0.309,7.2
54.1,361,24,0.29,5.9
53.4,369,24,0.286,5.6
52.6,378,24,0.279,5.2
51.9,387,24,0.276,4.7
51.5,387,24,0.268,4.4
51.3,385,25,0.268,4.5
58,386,25,0.268,4.5
53.3,397,57,,
52.8,47,58,,
52.3,412,59,,
52,415,59,,
51.7,419,60,,
51.5,417,60,,
51,426,60,,
54,437,60,,
49.9,443,61,,
49.4,452,62,,
48.7,466,63,,
48.2,472,64,,
48,473,64,,
47.7,473,65,,
47.8,467,65,,
47.9,461,67,,
73.3,114,0,0.646,13.5
73,117,0,0.643,13.5
72.8,12,0,0.643,13.6
72.7,121,0,0.636,13.2
72.6,122,0,0.632,13.1
72.5,123,0,0.627,12.7
72.4,124,0,0.621,12.4
72.4,124,0,0.615,12.2
72.3,126,0,0.602,11.9
72.1,129,0,0.596,11.9
71.8,134,0,0.582,11.2
71.4,14,0,0.574,11.1
71.1,144,0,0.572,11.3
77,148,0,0.569,11.3
73,152,0,0.562,11
69.9,155,0,0,11.3
68.7,174,10,0.558,10.9
68.3,179,11,0.553,10.9
67.8,183,11,0.546,10.8
67.4,186,12,0.54,10.7
67,19,13,0.533,10.7
66.6,192,14,0.519,10.6
66.1,195,15,0.52,10.5
65.6,199,16,0.511,10.5
65,24,16,0.495,10.3
64.1,216,17,0.483,10.1
62.9,234,18,0.47,10
61.5,253,19,0.458,9.7
63,268,21,0.445,9.3
59.3,273,23,0.427,8.2
58.5,273,25,0.412,7.6
57.7,274,27,0.401,7.2
57.3,357,45,0.514,10.4
56.7,366,47,0.507,10.4
56.4,364,48,0.501,10.4
55.9,369,50,0.496,10.4
55.6,371,51,0.486,10
55.3,37,53,0.48,9.7
54.8,373,54,0.473,9.2
54.2,382,56,0.466,8.8
53.6,395,57,0.456,8
53.3,394,58,0.456,8.2
52.8,4,58,0.456,8.3
52.1,412,59,0.455,8.2
51.8,412,60,0.452,8.1
51.6,47,60,0.452,8.4
51.5,41,61,0.437,7.1
51.4,394,62,0.433,6.9
82.2,64,2,0.919,16.3
82,65,2,0.912,15.9
81.8,67,2,0.909,15.9
81.6,68,2,0.907,15.9
81.5,68,2,0.903,15.9
81.2,7,2,0.898,15.9
81,72,2,0.898,15.9
87,74,2,0.897,15.8
85,74,2,0.894,15.8
85,75,2,0.891,15.8
81,76,2,0.886,15.8
80,77,2,0.881,15.8
79.7,78,2,0.877,15.8
79.5,79,2,0.872,15.8
79.4,8,2,0.867,15.8
79.1,82,2,0.864,15.9
52.5,397,15,0.347,7.1
58,437,15,0.345,7.1
49.9,451,16,0.37,7.1
53,439,16,0.366,7.1
49.8,443,16,0.361,6.8
49.2,446,17,0.352,6.6
48.6,453,17,0.345,6.4
47.6,477,17,0.338,6.3
46.8,495,17,0.33,6.2
46.3,56,17,0.323,6
45.9,511,17,0.319,5.9
45.7,512,17,0.315,5.7
45.7,51,17,0.316,5.6
45.6,58,17,0.315,5.4
45.6,54,17,0.314,5.3
46,49,16,0.312,5.2
53.1,356,46,0.394,7.3
52.6,362,46,0.39,7.3
52.2,366,46,0.387,7.3
51.8,367,46,0.381,7.3
51.6,365,46,0.37,6.7
51.2,364,46,0.36,6.7
57,37,46,0.343,6.3
49.6,394,46,0.338,6
49.4,394,46,0.306,5.7
48.5,414,45,0.303,5.5
48.6,46,45,0.306,5.6
48.5,45,44,0.301,5.6
48.4,43,44,0.284,5.4
48.1,43,43,0.303,5.1
48,4,42,0.3,4.9
47.6,44,41,0,4.7
85,82,2,0.845,16.3
83,83,2,0.841,16.2
81,84,2,0.831,15.6
79.9,84,2,0.826,15.5
79.8,86,2,0.82,15.4
79.1,89,2,0.815,15.2
79.3,91,2,0.816,15.3
79.6,88,2,0.804,15.2
78.9,9,2,0.797,14.8
78.9,91,2,0.796,14.9
78.4,93,2,0.79,14.6
78,97,2,0.781,14.3
77.9,1,2,0.775,14
77.8,11,2,0.768,13.9
77.3,16,2,0.761,13.7
77.3,13,2,0.755,13.5
76.1,85,157,0.734,13.5
75.8,86,171,0.723,13.1
75.6,88,185,0.713,12.7
75.4,89,201,0.703,12.4
75.2,91,215,0.7,12.8
75,92,231,0.691,12.5
74.9,93,248,0.682,12.2
74.5,97,266,0.672,11.9
74.4,96,285,0.659,11.4
74.2,98,307,0.646,11
73.9,99,332,0.634,10.6
73.5,11,360,0.622,10.2
73.1,13,391,0.61,9.9
72.7,16,422,0.6,9.7
72.2,11,457,0.592,9.6
71.7,115,490,0.583,9.5
74.8,143,10,0.724,13.6
74.6,144,11,0.72,13.6
74.4,145,11,0.712,13.3
74.3,143,11,0.707,13.2
74.2,144,12,0.7,13
73.6,15,12,0.695,12.8
73.6,15,13,0.691,12.4
73.5,146,14,0.683,12.2
73.5,144,14,0.675,11.9
73.1,147,15,0.669,11.5
73.1,144,15,0.658,11.1
72.8,148,16,0.658,11.3
72.4,15,16,0.659,11.6
71.8,163,17,0.656,11.5
71.5,165,17,0.653,11.4
71.4,167,18,0.65,11.3
63.5,227,1,0.498,11.1
63.2,23,1,0.497,11.1
62.9,233,1,0.49,10.9
62.5,237,2,0.484,10.8
62.2,241,2,0.479,10.6
61.8,246,2,0.476,10.5
61.3,251,2,0.465,10.3
61,255,2,0.461,10.2
66,259,2,0.459,10
63,262,2,0.451,9.9
60,266,2,0.434,9.7
59.8,269,2,0,9.5
59.6,271,2,0,9.2
59.5,271,2,0,8.8
59.5,272,1,0,8.5
59.5,272,1,0,8.2
64.7,267,7,0.59,11.1
64.2,275,7,0.581,11.1
63.9,274,7,0.576,11.1
63.7,273,7,0.557,10.2
62.9,285,7,0.558,10.7
62,298,7,0.548,10.5
68,314,7,0.545,10.3
59.4,338,8,0.527,10
58.2,354,8,0.517,9.8
56.9,368,8,0.507,9.6
55.3,394,8,0.496,9.4
54.1,48,9,0.497,9.2
53.2,417,9,0.492,9.4
52.6,424,9,0.488,9.5
52.7,419,9,0.487,9.7
52.9,416,9,0.487,9.8
,,0,,
79.6,95,1,0.775,14.2
79.5,96,1,0.768,13.9
79.4,96,1,0.762,13.7
79.2,97,1,0.758,13.6
79,98,1,0.752,13.4
78.1,16,1,0.749,13.3
79.2,96,1,0.747,13.1
78.9,99,1,0.74,12.9
78.9,93,1,0.734,12.8
78,16,1,0.727,12.6
78.6,97,1,0.723,12.4
77.7,12,1,0.719,12.2
78,1,1,0.715,12.1
78.3,99,1,0.712,11.9
77.5,1,1,0.708,11.7
77.6,98,1,0.702,11.6
78,95,0,0.823,15.3
77.8,97,0,0.82,15.1
77.7,97,0,0.817,14.9
77.1,14,0,0.815,14.6
77,14,0,0.808,14.5
76.6,16,0,0.803,14.2
76.3,19,0,0.803,14.2
76,116,0,0.8,14.3
75.8,114,0,0.793,14.3
75.9,113,0,0.783,13.9
75.2,116,0,0.777,13.6
75.4,114,0,0.771,13.3
74.7,122,0,0.765,12.9
74.8,124,0,0.759,12.6
74.9,126,0,0.749,12.3
74.7,127,0,0.739,12.2
79.1,92,1,0.773,13.9
79,93,1,0.772,14
78.7,96,1,0.773,14.7
78.7,96,1,0.778,15.7
78.8,92,1,0.78,16.5
78,98,1,0.784,17.6
78.1,11,1,0.782,17.7
77.9,12,1,0.771,17.1
78.1,14,1,0.754,16
78,14,1,0.732,14.7
77.2,19,1,0.719,14.2
77.3,17,1,0.705,13.2
77.4,18,1,0.694,12.9
77.7,19,1,0.692,12.5
76.7,115,1,0.686,12.3
76.9,115,1,0.679,12.1
85,52,0,0.854,14.3
83,53,0,0.85,14
81,54,0,0.85,13.8
80,56,0,0.85,13.8
79.7,57,0,0.847,13.8
79.5,59,0,0.853,14.6
79.3,6,0,0.849,14.1
79.1,62,0,0.844,13.7
78.9,63,0,0.836,13.5
78.8,64,0,0.829,13.4
78.7,65,0,0.826,13.5
78.6,65,0,0.823,13.4
78.5,66,0,0.815,13
78.4,68,0,0.805,12.5
78.2,69,0,0.8,12.4
78.1,7,0,0.798,12.5
78.8,86,0,,
78.6,88,0,,
78.2,9,0,,
78,93,0,,
77.8,97,0,,
77.5,99,0,,
77.1,12,0,,
77,16,0,,
76.8,17,0,,
76.5,19,0,,
75.9,114,0,,
75.8,116,0,,
75.2,122,0,,
75.3,12,0,,
75.1,123,0,,
74.7,126,0,,
76,139,6,,
73,142,6,,
71,146,6,,
69.8,149,7,,
69.4,153,8,,
69,157,8,,
68.7,161,9,,
68.6,164,9,,
68.5,166,9,,
68.5,165,10,,
68.5,165,10,,
68.4,165,11,,
68.1,165,12,,
67.6,167,14,,
66.6,177,16,,
65.4,192,18,,
59.8,258,236,,
59.3,266,237,,
58.8,272,238,,
58.3,277,239,,
57.9,278,239,,
57.4,283,239,,
56.7,292,238,,
56.3,295,237,,
55.7,299,236,,
55,36,235,,
54.3,314,233,,
53.5,323,232,,
52.8,332,231,,
52.1,341,229,,
51.8,34,227,,
51.3,346,226,,
86,71,0,0.923,19.2
84,73,0,0.926,19.2
81,75,0,0.924,18.7
80,76,0,0.922,18.4
79.7,79,0,0.91,16.9
79.2,84,0,0.906,16.8
78.9,86,0,0.906,16.8
78.8,88,0,0.906,16.8
78.4,93,0,0.904,16.7
78.1,93,0,0.902,16.9
78.1,92,0,0.897,16.6
77.7,98,0,0.893,16.5
77.3,11,0,0.882,16.3
77,14,0,0.875,16.6
77,12,0,0.862,16.2
76.9,12,0,0.86,16.5
63.5,241,1,0.47,6.3
63,252,1,0.467,6.3
62.7,256,1,0.464,6.3
62.2,263,1,0.46,6.3
61.8,268,1,0.451,5.9
61.3,273,1,0.441,5.5
69,279,1,0.436,5.3
62,289,1,0.427,5
59.8,296,1,0.416,4.5
59.1,39,2,0.405,4.3
58.6,318,2,0.396,4
58.1,326,2,0.388,3.7
58,325,2,0.378,3.5
57.9,322,2,0.372,3.3
57.7,323,2,0.363,2.9
57.4,325,2,0.361,2.9
,,0,0.721,12.7
73.9,152,6,0.718,13.2
73.6,154,6,0.712,13.2
73.4,157,6,0.709,13.2
72.1,174,6,0.706,13.1
73.1,16,6,0.703,13
72.7,166,6,0.697,12.9
73.6,157,6,0.695,12.9
73.3,161,6,0.692,12.8
72.9,164,6,0.685,12.7
72.3,178,7,0.677,12.6
69.7,28,7,0.668,12.6
69.3,214,7,0.666,12.5
73,22,7,0.665,12.4
71.4,189,7,0.66,12.3
71.2,188,7,0.656,12.3
72,176,7,0.651,12.2
76.2,118,6,0.739,14
76,121,6,0.737,14
76,121,6,0.725,13.4
75.5,127,7,0.717,13.3
75.3,131,7,0.71,13.2
75,134,7,0.703,13.1
75.1,137,7,0.702,13.1
74.6,139,7,0.698,13
74.7,14,7,0.696,12.9
74.4,144,8,0.693,12.8
74.2,151,8,0.688,12.8
74.4,148,8,0.682,12.7
74.4,151,8,0.679,12.6
73.6,157,8,0.675,12.5
73.4,158,9,0.67,12.4
72.8,163,9,0.668,12.4
79,159,51,0.688,13.1
78,161,53,0.686,13.1
79,159,54,0.681,12.8
72,165,54,0.673,12.4
74,168,55,0.671,12.4
70,173,54,0.665,12.2
69.9,174,54,0.659,12
69.8,172,54,0.651,11.9
69.7,171,55,0.644,11.7
69.5,175,55,0.636,11.5
69.4,174,56,0.629,11.4
69,176,57,0.623,11.2
68.6,178,59,0.621,11.3
68.7,177,61,0.617,11.2
68.6,177,63,0.612,11.1
68.8,171,65,0.606,11
73.5,178,2,0.678,13.2
73.3,181,2,0.676,13.2
73,184,2,0.675,13.2
73,181,2,0.67,13.2
72,197,2,0.666,13
72,191,2,0.662,12.9
71.4,23,2,0.662,12.8
71.7,194,2,0.659,13.4
71.2,23,2,0.657,12.9
75,211,3,0.651,12.9
71,213,3,0.644,12.7
70,215,3,0.636,12.4
69.9,29,3,0.628,121
73,24,3,0.621,11.8
68.9,219,4,0.615,11.6
69,218,4,0.607,11.3
58.2,32,3,0.582,9.2
57.9,32,3,0.582,9.2
57.4,327,3,0.586,9.2
56.7,337,3,0.583,9.2
56.2,344,3,0.58,9.2
56.1,339,3,0.589,9.2
55.7,34,3,0.59,9.1
55.4,338,3,0.592,9.1
55,339,3,0.587,9
54.8,337,3,0.569,9
54.4,337,3,0.563,8.7
54.1,336,3,0.553,8.5
53.8,334,3,0.554,8.4
53.5,334,3,0.542,8.2
53.1,334,3,0.527,8
52.7,336,3,0,0
64.7,255,5,0.418,5
64.4,261,5,0.416,5
64,266,6,0.414,5
63.6,274,6,0.41,5
62.9,286,6,0.405,5
62.1,298,6,0.404,5.1
61.4,311,6,0.402,5.2
67,322,6,0.406,5.2
62,329,6,0.405,5.3
59.7,336,7,0.405,5.3
59.4,34,7,0,5.4
59.1,342,7,0,5
58.8,343,7,0,4.7
58.5,343,7,0,4.4
58.1,345,7,0,4.3
45.3,593,7,0,3.9
77.6,119,0,0.863,16.5
77.3,122,0,0.86,16.5
76.9,127,0,0.856,16.5
76.3,135,0,0.85,16.5
76.1,138,0,0.838,16.4
75.6,137,0,0.833,16.2
74.9,156,0,0.836,16.1
74.2,167,0,0.835,16.1
73,189,0,0.829,16.1
73,188,0,0.822,16.1
72.8,189,0,0.812,15.9
72.3,195,0,0.805,15.7
71.9,199,0,0.798,15.6
71.2,211,0,0.791,15.4
78,225,0,0.781,15
78,218,0,0.764,14.4
64.8,225,136,0.441,8.4
64.2,234,140,0.435,8.4
63.7,237,145,0.427,8.4
63.3,241,150,0.422,8.4
62.6,249,156,0.411,8.2
61.8,261,162,0.401,8.1
68,274,169,0.393,8.1
59.8,289,177,0.378,7.6
58.5,39,186,0.362,7.1
57.2,328,196,0.346,6.6
56,343,206,0.325,5.8
55,354,217,0.31,5.4
54,363,228,0.306,5.2
53.2,369,237,0.298,4.9
52.5,372,246,0.283,4.3
51.2,391,253,0,3.9
69.9,188,0,0.734,15.3
69.7,19,0,0.727,15.2
69.6,192,0,0.719,15
69.4,195,0,0.714,14.9
69.2,197,0,0.709,14.7
69.1,2,0,0.706,14.6
68.9,23,0,0.704,14.5
68.7,26,0,0.7,14.3
68.6,29,0,0.698,14.2
68.5,211,0,0.695,14
68.3,214,0,0.699,13.9
68.1,218,0,0.691,13.4
68,22,0,0.689,13.3
67.9,22,0,0.687,13.3
67.8,221,0,0.683,13.2
67.7,221,0,0.681,13.1
81.1,76,0,0.893,17
89,78,0,0.89,17
87,79,0,0.887,17
84,82,0,0.884,17
83,86,0,0.878,16.9
79.9,89,0,0.874,16.8
79.7,91,0,0.878,17
79.6,94,0,0.876,17.1
79.3,96,0,0.873,17.2
79.2,96,0,0.869,17.2
78.9,11,0,0.864,17.1
78.7,12,0,0.869,18.3
78.4,98,0,0.866,18.1
78.1,98,0,0.863,18
78,1,0,0.856,17.7
77.5,15,0,0.847,17.3
82.4,78,2,0.894,16.3
82.2,79,3,0.89,16.2
82,81,3,0.887,16.2
